epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3909.29,1.1264,0.68596,0.91476,0.88939,0.6896,0.79101,0.51286,1.08889,0.64778,0.90332,0.00898525,0.00898525,0.00898525
43,4017.61,1.14452,0.69523,0.9095,0.8948,0.69215,0.7987,0.51865,1.08854,0.64951,0.8984,0.0089605,0.0089605,0.0089605
44,4130.13,1.1242,0.67687,0.90724,0.84989,0.69821,0.78807,0.51169,1.07299,0.64177,0.89158,0.00893575,0.00893575,0.00893575
45,4236.83,1.10569,0.67007,0.90507,0.89058,0.69649,0.79773,0.51956,1.07861,0.62505,0.89702,0.008911,0.008911,0.008911
46,4337.93,1.11597,0.67004,0.9039,0.85969,0.71225,0.80217,0.51724,1.06545,0.6389,0.88931,0.00888625,0.00888625,0.00888625
47,4447.34,1.10679,0.65934,0.90156,0.86508,0.71003,0.80019,0.51282,1.08498,0.64993,0.89125,0.0088615,0.0088615,0.0088615
48,4552.25,1.11669,0.68204,0.89931,0.89213,0.70889,0.80777,0.52551,1.09075,0.62613,0.90015,0.00883675,0.00883675,0.00883675
49,4660.15,1.10335,0.68179,0.90073,0.90007,0.70973,0.81443,0.52691,1.07354,0.61414,0.89344,0.008812,0.008812,0.008812
50,4771.12,1.10138,0.65894,0.90152,0.89379,0.7198,0.81125,0.53315,1.06271,0.60119,0.88936,0.00878725,0.00878725,0.00878725
51,4872.03,1.10424,0.66025,0.90059,0.88403,0.72064,0.81019,0.53547,1.07068,0.61536,0.89335,0.0087625,0.0087625,0.0087625
52,4976.97,1.09113,0.64751,0.89317,0.89208,0.7156,0.81414,0.5344,1.05707,0.59635,0.88424,0.00873775,0.00873775,0.00873775
53,5090.41,1.08486,0.65393,0.90082,0.89387,0.70554,0.81368,0.53791,1.0517,0.6073,0.88995,0.008713,0.008713,0.008713
54,5191.7,1.07954,0.62809,0.89177,0.87829,0.70638,0.80916,0.53644,1.04135,0.60538,0.88085,0.00868825,0.00868825,0.00868825
55,5293.28,1.06624,0.62561,0.89549,0.889,0.72567,0.81512,0.54336,1.0397,0.59636,0.88262,0.0086635,0.0086635,0.0086635
56,5408.5,1.07231,0.63568,0.8934,0.91682,0.71393,0.82253,0.53713,1.05343,0.59101,0.89172,0.00863875,0.00863875,0.00863875
57,5512.97,1.08654,0.6396,0.89113,0.90073,0.71477,0.81349,0.53636,1.05429,0.58851,0.88857,0.008614,0.008614,0.008614
58,5615.73,1.07448,0.63271,0.89205,0.87162,0.72315,0.81491,0.53636,1.04912,0.61269,0.8846,0.00858925,0.00858925,0.00858925
59,5724.14,1.07076,0.6232,0.88579,0.87285,0.71984,0.81451,0.52954,1.06665,0.60736,0.89136,0.0085645,0.0085645,0.0085645
60,5827.71,1.06156,0.62518,0.88718,0.87925,0.73909,0.83105,0.54735,1.04201,0.5889,0.88076,0.00853975,0.00853975,0.00853975
61,5934.14,1.07097,0.62415,0.89242,0.86974,0.73238,0.81913,0.53034,1.02636,0.58573,0.8805,0.008515,0.008515,0.008515
62,6046.2,1.04541,0.62085,0.88421,0.89026,0.72142,0.82389,0.53866,1.0453,0.57922,0.87933,0.00849025,0.00849025,0.00849025
63,6143.76,1.06268,0.61169,0.89293,0.88596,0.72064,0.81859,0.5403,1.03421,0.58193,0.88672,0.0084655,0.0084655,0.0084655
64,6250.39,1.06222,0.61197,0.88782,0.86852,0.73154,0.82545,0.54274,1.03957,0.59104,0.88086,0.00844075,0.00844075,0.00844075
65,6363.08,1.06051,0.6097,0.88964,0.86842,0.74077,0.82118,0.54336,1.0297,0.58336,0.88314,0.008416,0.008416,0.008416
66,6471.09,1.05405,0.61822,0.88689,0.89733,0.72148,0.82508,0.54979,1.02136,0.57523,0.88038,0.00839125,0.00839125,0.00839125
67,6571.61,1.04547,0.59416,0.88359,0.88658,0.72793,0.82272,0.54855,1.01698,0.5623,0.87834,0.0083665,0.0083665,0.0083665
68,6688.25,1.01966,0.59479,0.88204,0.87862,0.73658,0.8232,0.54419,1.04332,0.56967,0.88164,0.00834175,0.00834175,0.00834175
69,6795.44,1.04427,0.60229,0.88743,0.86934,0.74234,0.82262,0.54936,1.01391,0.56059,0.88111,0.008317,0.008317,0.008317
70,6894.85,1.02271,0.59532,0.88318,0.88913,0.73574,0.8253,0.54466,1.02522,0.57862,0.88528,0.00829225,0.00829225,0.00829225
71,7007.7,1.02388,0.59077,0.88141,0.88265,0.74329,0.82465,0.54711,1.025,0.56251,0.88742,0.0082675,0.0082675,0.0082675
72,7111.95,1.01369,0.58532,0.88038,0.89108,0.74806,0.83087,0.55444,1.0296,0.5522,0.88111,0.00824275,0.00824275,0.00824275
73,7215.36,1.01254,0.57168,0.87526,0.85869,0.75168,0.82855,0.55841,1.0028,0.5527,0.87113,0.008218,0.008218,0.008218
74,7329.69,1.00326,0.57604,0.88154,0.88867,0.73238,0.82764,0.55357,1.00323,0.54753,0.87556,0.00819325,0.00819325,0.00819325
75,7425.78,1.01443,0.57406,0.87549,0.8891,0.74664,0.82651,0.55041,1.0223,0.55727,0.87946,0.0081685,0.0081685,0.0081685
76,7530.14,1.00295,0.57784,0.87586,0.8651,0.7651,0.83212,0.55539,1.02078,0.54726,0.87988,0.00814375,0.00814375,0.00814375
77,7645.35,1.00819,0.57823,0.873,0.91417,0.71812,0.82169,0.55015,1.01815,0.55642,0.87653,0.008119,0.008119,0.008119
78,7750.8,1.0147,0.58003,0.87965,0.89478,0.74748,0.83249,0.55761,1.00474,0.53827,0.87514,0.00809425,0.00809425,0.00809425
79,7846.89,0.9877,0.56701,0.87125,0.90001,0.73909,0.83512,0.55806,1.01379,0.54732,0.87946,0.0080695,0.0080695,0.0080695
80,7957.43,1.01794,0.58148,0.87781,0.89629,0.74497,0.83645,0.5577,1.00143,0.54738,0.8718,0.00804475,0.00804475,0.00804475
81,8060.09,1.00799,0.56148,0.87659,0.9018,0.74245,0.83485,0.5613,1.00603,0.54345,0.87319,0.00802,0.00802,0.00802
82,8162.82,1.01164,0.5692,0.87424,0.87734,0.74408,0.8348,0.56681,0.99566,0.54295,0.86787,0.00799525,0.00799525,0.00799525
83,8276.15,0.98415,0.56071,0.87537,0.90334,0.73697,0.83271,0.55829,0.99955,0.54367,0.87089,0.0079705,0.0079705,0.0079705
84,8374.05,0.99633,0.56213,0.8748,0.88199,0.76494,0.84071,0.5643,1.00932,0.53994,0.87513,0.00794575,0.00794575,0.00794575
85,8477.08,1.00233,0.56611,0.8683,0.90156,0.75293,0.84056,0.56704,1.00617,0.54131,0.87782,0.007921,0.007921,0.007921
86,8592.24,0.97844,0.55904,0.87021,0.89669,0.75923,0.83908,0.55888,1.00966,0.53787,0.87354,0.00789625,0.00789625,0.00789625
87,8698.07,0.97672,0.55578,0.87175,0.86288,0.77097,0.83755,0.56522,0.9973,0.53322,0.87034,0.0078715,0.0078715,0.0078715
88,8797.17,0.97614,0.54591,0.86394,0.88436,0.75704,0.84052,0.57008,0.98693,0.5268,0.87002,0.00784675,0.00784675,0.00784675
89,8907.01,0.97374,0.54787,0.86569,0.87547,0.75755,0.8404,0.56804,1.00454,0.51953,0.87206,0.007822,0.007822,0.007822
90,9009.32,0.97451,0.54611,0.86619,0.89896,0.76678,0.84364,0.56576,0.99524,0.51997,0.87254,0.00779725,0.00779725,0.00779725
91,9111.01,0.9606,0.53364,0.87091,0.9223,0.7369,0.84338,0.56698,0.99408,0.53018,0.87253,0.0077725,0.0077725,0.0077725
92,9225.91,0.96433,0.53757,0.86748,0.9026,0.74748,0.84406,0.56358,0.99996,0.5104,0.87305,0.00774775,0.00774775,0.00774775
93,9324.77,0.95171,0.53173,0.86432,0.86903,0.76846,0.83645,0.56815,1.01027,0.52724,0.87804,0.007723,0.007723,0.007723
94,9427.01,0.9526,0.53374,0.86146,0.89335,0.76598,0.83984,0.56989,0.98221,0.51323,0.86739,0.00769825,0.00769825,0.00769825
95,9543.1,0.95877,0.532,0.86314,0.9121,0.74581,0.84285,0.57218,0.9915,0.5201,0.87093,0.0076735,0.0076735,0.0076735
96,9650.35,0.95788,0.53346,0.86765,0.91095,0.75521,0.84422,0.57468,0.98468,0.51626,0.8695,0.00764875,0.00764875,0.00764875
97,9747.88,0.96082,0.53846,0.86856,0.90043,0.7511,0.84328,0.5718,0.98729,0.51377,0.86802,0.007624,0.007624,0.007624
98,9859.57,0.95535,0.53353,0.86206,0.88936,0.76873,0.84874,0.5796,0.97092,0.50877,0.86734,0.00759925,0.00759925,0.00759925
99,9963.11,0.95714,0.53526,0.86654,0.8731,0.78498,0.84787,0.57357,0.98291,0.51463,0.86698,0.0075745,0.0075745,0.0075745
100,10066.4,0.94106,0.52148,0.86073,0.89975,0.76048,0.84838,0.57313,0.98958,0.49974,0.87049,0.00754975,0.00754975,0.00754975
101,10179.9,0.94464,0.52922,0.86163,0.91652,0.74605,0.84924,0.57306,0.9922,0.50735,0.87017,0.007525,0.007525,0.007525
102,10276.6,0.94254,0.52579,0.86666,0.89548,0.76762,0.84491,0.56774,0.99256,0.51915,0.86687,0.00750025,0.00750025,0.00750025
103,10380.1,0.94382,0.52711,0.86169,0.90656,0.74413,0.84575,0.57393,0.98881,0.51075,0.86959,0.0074755,0.0074755,0.0074755
104,10496.7,0.94176,0.52576,0.85869,0.89638,0.76199,0.84629,0.57713,0.97911,0.51053,0.86664,0.00745075,0.00745075,0.00745075
105,10604.1,0.93734,0.52758,0.86009,0.8902,0.76861,0.846,0.57646,0.97957,0.5053,0.86823,0.007426,0.007426,0.007426
106,10702.7,0.93241,0.51729,0.86091,0.88981,0.77227,0.84922,0.57793,0.96509,0.49624,0.86392,0.00740125,0.00740125,0.00740125
107,10812.4,0.94706,0.52134,0.86105,0.88648,0.77301,0.84723,0.57737,0.97573,0.50133,0.86347,0.0073765,0.0073765,0.0073765
108,10914.9,0.92871,0.51432,0.86063,0.90657,0.76846,0.84941,0.5777,0.97393,0.49628,0.86253,0.00735175,0.00735175,0.00735175
109,11018.9,0.92167,0.50613,0.84974,0.88768,0.77013,0.84854,0.57771,0.97857,0.49757,0.86906,0.007327,0.007327,0.007327
110,11133.4,0.94111,0.521,0.86496,0.91225,0.75084,0.84423,0.57372,0.97689,0.50635,0.86589,0.00730225,0.00730225,0.00730225
111,11230.8,0.9327,0.51301,0.85814,0.88974,0.76495,0.84929,0.57776,0.97433,0.51219,0.86652,0.0072775,0.0072775,0.0072775
112,11337.3,0.92739,0.50789,0.85792,0.90266,0.76007,0.84944,0.58021,0.97841,0.5082,0.86496,0.00725275,0.00725275,0.00725275
113,11452.9,0.93578,0.52011,0.8559,0.9085,0.76174,0.85484,0.58125,0.9677,0.49677,0.86355,0.007228,0.007228,0.007228
114,11562.4,0.91775,0.50783,0.8556,0.90737,0.77244,0.85337,0.5821,0.9632,0.49735,0.8606,0.00720325,0.00720325,0.00720325
115,11659,0.92286,0.49974,0.84913,0.89013,0.78272,0.85435,0.58592,0.95582,0.49397,0.86028,0.0071785,0.0071785,0.0071785
116,11773.3,0.89986,0.49445,0.85098,0.89791,0.77181,0.85523,0.58693,0.96145,0.49538,0.86316,0.00715375,0.00715375,0.00715375
117,11878.3,0.92443,0.50505,0.85975,0.90808,0.76594,0.8542,0.58518,0.95688,0.4987,0.864,0.007129,0.007129,0.007129
118,11980.2,0.92012,0.50691,0.84919,0.86744,0.78607,0.85072,0.58324,0.95838,0.50181,0.86152,0.00710425,0.00710425,0.00710425
119,12093,0.90921,0.50592,0.85771,0.87913,0.78356,0.85519,0.58668,0.96668,0.49314,0.86659,0.0070795,0.0070795,0.0070795
120,12190.6,0.90962,0.49934,0.85688,0.88966,0.7779,0.85642,0.58867,0.96612,0.48589,0.86634,0.00705475,0.00705475,0.00705475
